seq_number,step_number,small_relevant,small_random,big_random,big_relevant,label
0:1,0:1:0,2,1,8,4,0
0:1,0:1:0,2,3,7,3,0
0:1,0:1:0,2,0,7,6,0
0:1,0:1:0,6,6,7,3,0
0:1,0:1:0,7,3,8,5,0
0:1,0:1:0,5,6,7,9,0
0:1,0:1:0,7,0,7,9,0
0:1,0:1:0,10,2,7,7,0
0:1,0:1:0,11,1,8,13,0
0:1,0:1:0,12,4,8,14,0
0:1,0:1:1,3,6,8,4,0
0:1,0:1:1,3,4,7,2,0
0:1,0:1:1,5,5,8,9,0
0:1,0:1:1,6,0,7,10,0
0:1,0:1:1,7,4,7,11,0
0:1,0:1:1,9,4,8,11,0
0:1,0:1:1,10,0,7,11,0
0:1,0:1:1,8,0,7,9,0
0:1,0:1:1,9,2,7,15,0
0:1,0:1:1,13,2,7,16,0
0:1,0:1:2,3,6,8,4,0
0:1,0:1:2,6,4,7,7,0
0:1,0:1:2,4,5,7,9,0
0:1,0:1:2,8,6,7,7,0
0:1,0:1:2,9,6,8,12,0
0:1,0:1:2,10,4,7,13,0
0:1,0:1:2,8,5,7,13,0
0:1,0:1:2,10,2,8,11,0
0:1,0:1:2,10,3,8,16,0
0:1,0:1:2,13,6,8,14,0
0:1,0:1:3,6,0,7,8,0
0:1,0:1:3,5,1,8,9,0
0:1,0:1:3,7,0,7,8,0
0:1,0:1:3,9,1,8,12,0
0:1,0:1:3,7,5,7,13,0
0:1,0:1:3,10,3,7,12,0
0:1,0:1:3,12,3,8,9,0
0:1,0:1:3,10,3,7,10,0
0:1,0:1:3,11,4,7,16,0
0:1,0:1:3,14,0,8,13,0
0:1,0:1:4,7,6,8,4,0
0:1,0:1:4,5,4,8,9,0
0:1,0:1:4,8,5,7,11,0
0:1,0:1:4,9,6,7,10,0
0:1,0:1:4,10,5,7,12,0
0:1,0:1:4,10,0,8,12,0
0:1,0:1:4,12,6,7,13,0
0:1,0:1:4,13,6,7,11,0
0:1,0:1:4,12,3,8,12,0
0:1,0:1:4,14,1,7,19,0
0:1,0:1:5,8,4,8,5,0
0:1,0:1:5,7,3,8,6,0
0:1,0:1:5,7,3,7,7,0
0:1,0:1:5,11,6,7,13,0
0:1,0:1:5,9,6,8,12,0
0:1,0:1:5,13,0,8,16,0
0:1,0:1:5,13,5,8,11,0
0:1,0:1:5,14,0,7,14,0
0:1,0:1:5,13,2,8,14,0
0:1,0:1:5,14,6,7,20,0
0:1,0:1:6,8,0,7,7,0
0:1,0:1:6,7,1,7,12,0
0:1,0:1:6,8,2,8,13,0
0:1,0:1:6,9,4,7,15,0
0:1,0:1:6,11,1,8,10,0
0:1,0:1:6,14,2,8,12,0
0:1,0:1:6,12,1,8,14,0
0:1,0:1:6,16,2,8,17,0
0:1,0:1:6,16,1,7,14,0
0:1,0:1:6,17,1,8,16,0
0:2,0:2:0,1,2,7,1,0
0:2,0:2:0,2,2,8,4,0
0:2,0:2:0,2,6,7,6,0
0:2,0:2:0,3,3,7,8,0
0:2,0:2:0,4,1,8,6,0
0:2,0:2:0,8,5,7,9,0
0:2,0:2:0,9,2,8,6,0
0:2,0:2:0,8,3,8,12,0
0:2,0:2:0,8,3,8,8,0
0:2,0:2:0,12,5,8,12,0
0:2,0:2:1,2,2,8,4,0
0:2,0:2:1,2,1,7,4,0
0:2,0:2:1,3,4,7,9,0
0:2,0:2:1,7,3,7,10,0
0:2,0:2:1,8,3,7,6,0
0:2,0:2:1,9,2,7,8,0
0:2,0:2:1,10,5,7,10,0
0:2,0:2:1,9,2,7,14,0
0:2,0:2:1,12,4,8,9,0
0:2,0:2:1,11,2,7,16,0
0:2,0:2:2,4,4,7,5,0
0:2,0:2:2,6,0,8,9,0
0:2,0:2:2,5,4,8,6,0
0:2,0:2:2,5,0,8,10,0
0:2,0:2:2,6,0,8,9,0
0:2,0:2:2,10,3,7,12,0
0:2,0:2:2,10,2,8,14,0
0:2,0:2:2,10,4,7,9,0
0:2,0:2:2,10,6,8,12,0
0:2,0:2:2,13,0,7,17,0
0:2,0:2:3,4,0,8,9,0
0:2,0:2:3,6,2,7,8,0
0:2,0:2:3,6,4,7,8,0
0:2,0:2:3,9,5,8,8,0
0:2,0:2:3,10,2,7,8,0
0:2,0:2:3,8,5,7,11,0
0:2,0:2:3,12,4,8,10,0
0:2,0:2:3,12,2,8,15,0
0:2,0:2:3,14,1,8,14,0
0:2,0:2:3,14,3,7,15,0
0:2,0:2:4,6,1,8,4,0
0:2,0:2:4,6,0,8,8,0
0:2,0:2:4,9,0,7,11,0
0:2,0:2:4,7,5,8,7,0
0:2,0:2:4,10,0,7,12,0
0:2,0:2:4,9,2,8,14,0
0:2,0:2:4,11,1,8,11,0
0:2,0:2:4,11,3,8,16,0
0:2,0:2:4,14,3,7,14,0
0:2,0:2:4,16,5,8,14,0
0:2,0:2:5,8,5,7,9,0
0:2,0:2:5,8,1,7,7,0
0:2,0:2:5,10,2,8,10,0
0:2,0:2:5,11,3,7,14,0
0:2,0:2:5,10,3,7,13,0
0:2,0:2:5,10,3,7,11,0
0:2,0:2:5,11,6,7,13,0
0:2,0:2:5,12,5,7,13,0
0:2,0:2:5,15,4,7,18,0
0:2,0:2:5,16,6,8,17,0
0:2,0:2:6,9,0,8,10,0
0:2,0:2:6,10,3,8,12,0
0:2,0:2:6,11,1,8,10,0
0:2,0:2:6,9,0,7,10,0
0:2,0:2:6,12,0,8,15,0
0:2,0:2:6,11,1,7,17,0
0:2,0:2:6,15,5,7,16,0
0:2,0:2:6,16,4,7,16,0
0:2,0:2:6,15,2,7,18,0
0:2,0:2:6,15,6,8,17,0
0:2,0:2:7,10,2,8,7,0
0:2,0:2:7,8,1,8,8,0
0:2,0:2:7,10,6,8,10,0
0:2,0:2:7,11,2,8,12,0
0:2,0:2:7,14,2,8,13,0
0:2,0:2:7,13,0,8,16,0
0:2,0:2:7,13,0,8,16,0
0:2,0:2:7,17,0,8,17,0
0:2,0:2:7,18,3,7,15,0
0:2,0:2:7,16,1,7,22,0
0:3,0:3:0,3,1,8,4,0
0:3,0:3:0,1,6,8,5,0
0:3,0:3:0,5,0,7,3,0
0:3,0:3:0,6,1,7,9,0
0:3,0:3:0,6,2,8,7,0
0:3,0:3:0,5,4,8,9,0
0:3,0:3:0,7,5,8,12,0
0:3,0:3:0,10,4,8,11,0
0:3,0:3:0,10,2,7,8,0
0:3,0:3:0,9,4,7,10,0
0:3,0:3:1,4,1,7,3,0
0:3,0:3:1,2,5,8,8,0
0:3,0:3:1,3,0,8,8,0
0:3,0:3:1,6,0,8,5,0
0:3,0:3:1,7,1,7,5,0
0:3,0:3:1,8,5,8,7,0
0:3,0:3:1,9,5,8,9,0
0:3,0:3:1,9,1,7,12,0
0:3,0:3:1,11,2,7,15,0
0:3,0:3:1,11,3,7,11,0
0:3,0:3:2,2,1,7,8,0
0:3,0:3:2,6,4,7,4,0
0:3,0:3:2,5,6,7,10,0
0:3,0:3:2,8,2,7,10,0
0:3,0:3:2,9,0,7,10,0
0:3,0:3:2,9,3,8,9,0
0:3,0:3:2,8,1,7,13,0
0:3,0:3:2,12,6,8,13,0
0:3,0:3:2,12,5,7,12,0
0:3,0:3:2,12,4,8,16,0
0:3,0:3:3,4,6,8,9,0
0:3,0:3:3,6,3,7,5,0
0:3,0:3:3,5,2,7,7,0
0:3,0:3:3,9,5,7,8,0
0:3,0:3:3,9,5,7,9,0
0:3,0:3:3,8,2,7,13,0
0:3,0:3:3,10,2,7,12,0
0:3,0:3:3,10,0,7,10,0
0:3,0:3:3,11,1,8,11,0
0:3,0:3:3,12,2,8,13,0
0:3,0:3:4,5,3,8,5,0
0:3,0:3:4,7,2,7,10,0
0:3,0:3:4,8,5,8,9,0
0:3,0:3:4,7,3,8,11,0
0:3,0:3:4,11,6,7,12,0
0:3,0:3:4,9,3,8,10,0
0:3,0:3:4,10,4,7,14,0
0:3,0:3:4,12,0,8,12,0
0:3,0:3:4,13,1,7,18,0
0:3,0:3:4,14,5,7,18,0
0:3,0:3:5,5,3,7,9,0
0:3,0:3:5,9,5,7,10,0
0:3,0:3:5,7,2,8,13,0
0:3,0:3:5,11,0,7,11,0
0:3,0:3:5,9,2,8,14,0
0:3,0:3:5,11,3,7,14,0
0:3,0:3:5,13,1,8,13,0
0:3,0:3:5,14,6,8,15,0
0:3,0:3:5,13,2,8,17,0
0:3,0:3:5,17,0,8,19,0
0:3,0:3:6,6,3,8,11,0
0:3,0:3:6,7,3,8,10,0
0:3,0:3:6,8,0,8,13,0
0:3,0:3:6,9,2,8,14,0
0:3,0:3:6,11,6,8,13,0
0:3,0:3:6,13,1,7,15,0
0:3,0:3:6,14,6,7,16,0
0:3,0:3:6,15,1,7,15,0
0:3,0:3:6,14,4,7,18,0
0:3,0:3:6,16,2,8,17,0
0:3,0:3:7,9,2,8,13,0
0:3,0:3:7,11,4,8,9,0
0:3,0:3:7,9,6,7,13,0
0:3,0:3:7,10,3,7,12,0
0:3,0:3:7,11,5,8,16,0
0:3,0:3:7,14,5,7,12,0
0:3,0:3:7,16,2,7,17,0
0:3,0:3:7,15,0,7,18,0
0:3,0:3:7,15,4,8,21,0
0:3,0:3:7,19,2,8,18,0
0:4,0:4:0,3,6,8,2,0
0:4,0:4:0,3,2,7,6,0
0:4,0:4:0,5,6,7,8,0
0:4,0:4:0,3,6,7,9,0
0:4,0:4:0,7,2,8,4,0
0:4,0:4:0,8,5,7,5,0
0:4,0:4:0,8,4,7,11,0
0:4,0:4:0,8,5,8,12,0
0:4,0:4:0,11,0,7,12,0
0:4,0:4:0,10,2,7,15,0
0:4,0:4:1,4,0,8,2,0
0:4,0:4:1,5,6,7,3,0
0:4,0:4:1,4,3,7,6,0
0:4,0:4:1,7,2,8,7,0
0:4,0:4:1,7,4,8,5,0
0:4,0:4:1,8,0,8,6,0
0:4,0:4:1,9,1,8,10,0
0:4,0:4:1,11,6,8,13,0
0:4,0:4:1,9,4,8,11,0
0:4,0:4:1,11,4,8,12,0
0:4,0:4:2,2,3,8,6,0
0:4,0:4:2,4,0,7,7,0
0:4,0:4:2,6,2,7,4,0
0:4,0:4:2,6,5,7,10,0
0:4,0:4:2,9,0,8,12,0
0:4,0:4:2,7,2,8,8,0
0:4,0:4:2,10,3,7,12,0
0:4,0:4:2,10,3,8,13,0
0:4,0:4:2,10,1,7,11,0
0:4,0:4:2,14,5,7,16,0
0:4,0:4:3,3,6,8,4,0
0:4,0:4:3,6,6,7,4,0
0:4,0:4:3,6,6,8,6,0
0:4,0:4:3,8,2,8,12,0
0:4,0:4:3,9,4,8,8,0
0:4,0:4:3,11,4,7,8,0
0:4,0:4:3,10,5,7,15,0
0:4,0:4:3,12,6,7,11,0
0:4,0:4:3,14,4,7,17,0
0:4,0:4:3,15,4,7,17,0
0:4,0:4:4,6,5,7,7,0
0:4,0:4:4,5,4,7,11,0
0:4,0:4:4,8,0,7,6,0
0:4,0:4:4,10,4,8,11,0
0:4,0:4:4,11,2,8,12,0
0:4,0:4:4,11,6,7,10,0
0:4,0:4:4,12,0,7,15,0
0:4,0:4:4,12,0,8,15,0
0:4,0:4:4,13,0,8,17,0
0:4,0:4:4,13,5,8,19,0
0:4,0:4:5,8,0,7,7,0
0:4,0:4:5,6,3,7,9,0
0:4,0:4:5,9,4,8,12,0
0:4,0:4:5,10,4,8,11,0
0:4,0:4:5,10,0,8,15,0
0:4,0:4:5,12,1,8,10,0
0:4,0:4:5,13,0,7,11,0
0:4,0:4:5,14,0,7,15,0
0:4,0:4:5,13,2,8,19,0
0:4,0:4:5,17,3,7,20,0
0:4,0:4:6,6,4,8,12,0
0:4,0:4:6,9,0,7,13,0
0:4,0:4:6,8,2,8,8,0
0:4,0:4:6,12,0,7,13,0
0:4,0:4:6,12,0,7,13,0
0:4,0:4:6,13,1,7,12,0
0:4,0:4:6,13,6,7,17,0
0:4,0:4:6,14,4,8,13,0
0:4,0:4:6,17,5,8,14,0
0:4,0:4:6,16,1,8,17,0
0:5,0:5:0,1,2,7,1,0
0:5,0:5:0,4,3,8,5,0
0:5,0:5:0,3,3,7,3,0
0:5,0:5:0,3,5,8,8,0
0:5,0:5:0,5,1,7,4,0
0:5,0:5:0,7,4,7,5,0
0:5,0:5:0,6,6,7,10,0
0:5,0:5:0,8,6,7,12,0
0:5,0:5:0,11,6,7,11,0
0:5,0:5:0,12,4,8,14,0
0:5,0:5:1,2,1,8,5,0
0:5,0:5:1,3,4,8,2,0
0:5,0:5:1,4,3,8,3,0
0:5,0:5:1,7,3,7,7,0
0:5,0:5:1,8,1,8,6,0
0:5,0:5:1,9,3,7,12,0
0:5,0:5:1,9,2,8,11,0
0:5,0:5:1,8,4,8,9,0
0:5,0:5:1,11,0,8,15,0
0:5,0:5:1,13,5,7,14,0
0:5,0:5:2,2,1,8,2,0
0:5,0:5:2,6,5,8,6,0
0:5,0:5:2,4,5,8,8,0
0:5,0:5:2,8,1,7,7,0
0:5,0:5:2,9,3,7,10,0
0:5,0:5:2,9,6,7,9,0
0:5,0:5:2,10,1,8,14,0
0:5,0:5:2,12,5,7,10,0
0:5,0:5:2,12,1,8,12,0
0:5,0:5:2,14,5,7,13,0
0:5,0:5:3,6,0,8,5,0
0:5,0:5:3,7,5,7,6,0
0:5,0:5:3,6,1,7,9,0
0:5,0:5:3,8,1,7,9,0
0:5,0:5:3,10,3,7,12,0
0:5,0:5:3,8,6,8,12,0
0:5,0:5:3,10,1,7,10,0
0:5,0:5:3,11,1,7,14,0
0:5,0:5:3,12,6,8,13,0
0:5,0:5:3,14,5,8,17,0
0:5,0:5:4,4,6,8,10,0
0:5,0:5:4,7,1,8,10,0
0:5,0:5:4,8,4,7,9,0
0:5,0:5:4,9,1,8,9,0
0:5,0:5:4,11,3,8,11,0
0:5,0:5:4,12,6,7,14,0
0:5,0:5:4,11,1,7,14,0
0:5,0:5:4,11,5,7,15,0
0:5,0:5:4,12,2,7,15,0
0:5,0:5:4,13,6,7,13,0
0:5,0:5:5,5,2,8,7,0
0:5,0:5:5,6,5,8,8,0
0:5,0:5:5,9,5,8,13,0
0:5,0:5:5,9,1,7,14,0
0:5,0:5:5,10,0,7,13,0
0:5,0:5:5,13,4,7,13,0
0:5,0:5:5,14,2,7,15,0
0:5,0:5:5,13,3,7,15,0
0:5,0:5:5,13,3,7,18,0
0:5,0:5:5,17,2,7,18,0
0:5,0:5:6,9,0,8,10,0
0:5,0:5:6,7,2,8,11,0
0:5,0:5:6,11,3,8,9,0
0:5,0:5:6,10,4,8,10,0
0:5,0:5:6,12,6,7,13,0
0:5,0:5:6,11,0,8,14,0
0:5,0:5:6,15,4,7,14,0
0:5,0:5:6,16,1,7,15,0
0:5,0:5:6,15,2,7,15,0
0:5,0:5:6,15,6,7,19,0
0:5,0:5:7,8,0,7,13,0
0:5,0:5:7,11,4,8,13,0
0:5,0:5:7,9,3,8,15,0
0:5,0:5:7,12,6,7,15,0
0:5,0:5:7,11,1,7,14,0
0:5,0:5:7,14,2,7,12,0
0:5,0:5:7,16,2,8,13,0
0:5,0:5:7,14,2,8,15,0
0:5,0:5:7,17,3,7,16,0
0:5,0:5:7,18,1,8,21,0
0:6,0:6:0,2,3,7,6,0
0:6,0:6:0,1,3,8,5,0
0:6,0:6:0,5,1,8,7,0
0:6,0:6:0,5,3,8,5,0
0:6,0:6:0,7,6,8,10,0
0:6,0:6:0,5,3,8,5,0
0:6,0:6:0,9,1,8,7,0
0:6,0:6:0,8,2,8,8,0
0:6,0:6:0,8,5,8,11,0
0:6,0:6:0,12,4,8,13,0
0:6,0:6:1,2,5,8,5,0
0:6,0:6:1,4,3,7,4,0
0:6,0:6:1,3,0,8,5,0
0:6,0:6:1,7,1,8,4,0
0:6,0:6:1,5,3,7,7,0
0:6,0:6:1,7,5,8,7,0
0:6,0:6:1,7,1,8,7,0
0:6,0:6:1,9,0,7,11,0
0:6,0:6:1,9,1,7,15,0
0:6,0:6:1,11,0,8,11,0
0:6,0:6:2,2,4,8,2,0
0:6,0:6:2,4,1,7,6,0
0:6,0:6:2,7,3,7,7,0
0:6,0:6:2,6,3,7,9,0
0:6,0:6:2,8,0,8,11,0
0:6,0:6:2,9,6,8,12,0
0:6,0:6:2,11,5,7,12,0
0:6,0:6:2,9,2,7,14,0
0:6,0:6:2,10,2,7,15,0
0:6,0:6:2,12,4,7,14,0
0:6,0:6:3,4,4,8,4,0
0:6,0:6:3,7,4,7,8,0
0:6,0:6:3,5,5,8,5,0
0:6,0:6:3,9,3,7,9,0
0:6,0:6:3,9,1,8,9,0
0:6,0:6:3,11,0,8,14,0
0:6,0:6:3,10,3,7,11,0
0:6,0:6:3,13,6,8,10,0
0:6,0:6:3,14,5,7,15,0
0:6,0:6:3,15,6,8,13,0
0:6,0:6:4,7,1,8,7,0
0:6,0:6:4,8,1,7,8,0
0:6,0:6:4,8,2,8,10,0
0:6,0:6:4,8,6,7,8,0
0:6,0:6:4,10,4,7,8,0
0:6,0:6:4,10,2,7,11,0
0:6,0:6:4,11,6,8,13,0
0:6,0:6:4,12,3,8,12,0
0:6,0:6:4,13,3,7,18,0
0:6,0:6:4,15,6,7,18,0
0:6,0:6:5,7,1,8,6,0
0:6,0:6:5,9,5,7,10,0
0:6,0:6:5,10,0,7,10,0
0:6,0:6:5,10,4,7,8,0
0:6,0:6:5,9,0,7,10,0
0:6,0:6:5,13,6,7,15,0
0:6,0:6:5,11,6,8,16,0
0:6,0:6:5,14,5,8,15,0
0:6,0:6:5,14,1,8,17,0
0:6,0:6:5,16,5,8,17,0
0:6,0:6:6,9,5,8,12,0
0:6,0:6:6,10,0,7,8,0
0:6,0:6:6,8,6,7,11,0
0:6,0:6:6,12,5,7,11,0
0:6,0:6:6,10,0,8,11,0
0:6,0:6:6,11,6,8,15,0
0:6,0:6:6,15,4,7,17,0
0:6,0:6:6,13,5,7,17,0
0:6,0:6:6,17,2,8,18,0
0:6,0:6:6,15,0,8,21,0
0:6,0:6:7,7,1,8,11,0
0:6,0:6:7,10,2,7,13,0
0:6,0:6:7,9,6,7,13,0
0:6,0:6:7,10,4,8,11,0
0:6,0:6:7,14,2,7,15,0
0:6,0:6:7,15,2,7,15,0
0:6,0:6:7,16,5,8,14,0
0:6,0:6:7,16,0,7,15,0
0:6,0:6:7,17,5,8,15,0
0:6,0:6:7,19,3,8,19,0
0:6,0:6:8,8,0,8,12,0
0:6,0:6:8,10,6,7,9,0
0:6,0:6:8,10,5,8,11,0
0:6,0:6:8,11,5,8,13,0
0:6,0:6:8,15,0,8,14,0
0:6,0:6:8,15,4,7,18,0
0:6,0:6:8,14,2,7,15,0
0:6,0:6:8,18,6,7,20,0
0:6,0:6:8,18,2,7,18,0
0:6,0:6:8,17,4,8,23,0
0:7,0:7:0,2,4,7,4,0
0:7,0:7:0,1,6,7,4,0
0:7,0:7:0,2,4,7,4,0
0:7,0:7:0,3,4,7,4,0
0:7,0:7:0,5,3,7,8,0
0:7,0:7:0,8,2,7,7,0
0:7,0:7:0,8,4,7,7,0
0:7,0:7:0,10,6,8,8,0
0:7,0:7:0,10,4,7,8,0
0:7,0:7:0,11,2,8,9,0
0:7,0:7:1,1,4,7,3,0
0:7,0:7:1,2,1,8,3,0
0:7,0:7:1,5,6,8,3,0
0:7,0:7:1,7,4,8,4,0
0:7,0:7:1,5,4,8,7,0
0:7,0:7:1,7,2,7,11,0
0:7,0:7:1,10,5,8,7,0
0:7,0:7:1,8,6,7,13,0
0:7,0:7:1,11,0,8,11,0
0:7,0:7:1,12,0,7,16,0
0:7,0:7:2,3,2,7,8,0
0:7,0:7:2,6,3,8,7,0
0:7,0:7:2,5,2,8,10,0
0:7,0:7:2,8,3,7,8,0
0:7,0:7:2,8,1,7,7,0
0:7,0:7:2,10,3,7,8,0
0:7,0:7:2,8,2,7,14,0
0:7,0:7:2,10,1,8,9,0
0:7,0:7:2,12,4,8,10,0
0:7,0:7:2,12,3,8,13,0
0:7,0:7:3,6,3,8,8,0
0:7,0:7:3,4,1,8,5,0
0:7,0:7:3,6,1,7,11,0
0:7,0:7:3,8,6,7,7,0
0:7,0:7:3,9,4,7,8,0
0:7,0:7:3,9,6,8,13,0
0:7,0:7:3,10,1,7,15,0
0:7,0:7:3,11,5,7,14,0
0:7,0:7:3,13,6,7,16,0
0:7,0:7:3,15,6,7,12,0
0:7,0:7:4,7,1,8,8,0
0:7,0:7:4,8,1,8,9,0
0:7,0:7:4,9,0,7,12,0
0:7,0:7:4,7,4,7,13,0
0:7,0:7:4,8,0,7,13,0
0:7,0:7:4,12,3,8,12,0
0:7,0:7:4,12,5,8,12,0
0:7,0:7:4,11,6,7,15,0
0:7,0:7:4,13,5,7,18,0
0:7,0:7:4,13,6,7,17,0
0:7,0:7:5,5,5,8,6,0
0:7,0:7:5,9,5,7,10,0
0:7,0:7:5,9,0,7,9,0
0:7,0:7:5,10,2,8,12,0
0:7,0:7:5,11,1,7,12,0
0:7,0:7:5,11,4,8,12,0
0:7,0:7:5,14,2,8,12,0
0:7,0:7:5,15,6,8,18,0
0:7,0:7:5,15,2,8,16,0
0:7,0:7:5,17,5,8,19,0
0:7,0:7:6,7,1,8,7,0
0:7,0:7:6,9,4,7,11,0
0:7,0:7:6,9,6,8,10,0
0:7,0:7:6,11,3,8,12,0
0:7,0:7:6,10,6,7,12,0
0:7,0:7:6,14,5,7,11,0
0:7,0:7:6,13,4,7,18,0
0:7,0:7:6,15,6,7,19,0
0:7,0:7:6,15,1,7,19,0
0:7,0:7:6,17,4,8,15,0
0:8,0:8:0,0,4,7,6,0
0:8,0:8:0,3,6,7,4,0
0:8,0:8:0,5,5,8,8,0
0:8,0:8:0,5,0,8,9,0
0:8,0:8:0,4,5,7,10,0
0:8,0:8:0,6,0,8,7,0
0:8,0:8:0,7,6,8,7,0
0:8,0:8:0,9,1,7,10,0
0:8,0:8:0,9,4,8,12,0
0:8,0:8:0,10,0,7,12,0
0:8,0:8:1,1,5,7,5,0
0:8,0:8:1,2,3,8,4,0
0:8,0:8:1,4,5,7,5,0
0:8,0:8:1,5,2,8,7,0
0:8,0:8:1,8,4,8,7,0
0:8,0:8:1,6,3,7,6,0
0:8,0:8:1,9,4,8,11,0
0:8,0:8:1,11,3,7,12,0
0:8,0:8:1,12,6,7,14,0
0:8,0:8:1,10,4,7,16,0
0:8,0:8:2,3,5,8,4,0
0:8,0:8:2,3,5,8,5,0
0:8,0:8:2,6,6,7,9,0
0:8,0:8:2,7,4,7,5,0
0:8,0:8:2,6,4,7,12,0
0:8,0:8:2,8,0,8,10,0
0:8,0:8:2,11,0,8,13,0
0:8,0:8:2,10,0,8,14,0
0:8,0:8:2,11,0,7,13,0
0:8,0:8:2,11,0,8,12,0
0:8,0:8:3,5,3,8,9,0
0:8,0:8:3,4,5,8,8,0
0:8,0:8:3,6,4,7,10,0
0:8,0:8:3,7,4,7,12,0
0:8,0:8:3,7,4,8,9,0
0:8,0:8:3,10,2,7,11,0
0:8,0:8:3,9,6,7,13,0
0:8,0:8:3,10,0,8,11,0
0:8,0:8:3,12,6,7,11,0
0:8,0:8:3,14,0,8,18,0
0:8,0:8:4,5,2,7,4,0
0:8,0:8:4,7,1,8,8,0
0:8,0:8:4,8,5,8,9,0
0:8,0:8:4,7,0,8,10,0
0:8,0:8:4,11,6,8,12,0
0:8,0:8:4,12,4,8,13,0
0:8,0:8:4,10,1,7,15,0
0:8,0:8:4,14,6,8,12,0
0:8,0:8:4,12,1,7,12,0
0:8,0:8:4,16,5,7,18,0
0:8,0:8:5,5,4,8,9,0
0:8,0:8:5,8,2,8,9,0
0:8,0:8:5,9,5,8,11,0
0:8,0:8:5,10,1,7,13,0
0:8,0:8:5,12,6,8,11,0
0:8,0:8:5,10,1,7,13,0
