seq_number,small_relevant,small_random,big_random,big_relevant,label
0:16,6,5,7,8,0
0:16,9,5,7,11,0
0:16,9,6,7,9,0
0:16,12,0,8,11,0
0:17,1,0,7,2,0
0:17,3,3,8,3,0
0:17,4,1,7,2,0
0:17,5,1,8,4,0
0:17,5,6,7,6,0
0:17,6,1,7,7,0
0:17,8,3,7,12,0
0:17,8,4,7,10,0
0:17,8,5,7,9,0
0:18,2,4,8,5,0
0:18,2,4,8,3,0
0:18,4,0,7,5,0
0:18,5,5,7,6,0
0:18,7,0,8,9,0
0:18,7,3,7,7,0
0:18,8,3,7,7,0
0:18,7,2,7,11,0
0:18,9,6,8,11,0
0:18,10,6,8,12,0
0:19,1,3,8,4,0
0:19,2,2,8,6,0
0:19,2,3,7,4,0
0:19,3,6,8,7,0
0:19,7,0,7,6,0
0:19,5,6,8,9,0
0:19,7,3,8,6,0
0:19,10,6,7,11,0
10:0,12,5,7,10,10
10:0,13,5,7,11,10
10:0,14,3,8,15,10
10:0,13,5,8,15,10
10:0,16,6,7,18,10
10:0,15,0,7,21,10
10:0,18,2,8,16,10
10:0,18,6,7,17,10
10:0,21,6,8,20,10
10:0,20,4,7,23,10
10:1,13,5,8,15,10
10:1,13,2,8,13,10
10:1,13,1,7,17,10
10:1,13,3,8,17,10
10:1,17,1,8,16,10
10:1,18,5,8,16,10
10:1,19,3,8,19,10
10:2,13,2,7,15,10
10:2,14,0,7,11,10
10:2,14,3,8,12,10
10:2,13,5,7,18,10
10:2,17,0,8,14,10
10:2,15,4,7,17,10
10:2,18,5,7,17,10
10:3,12,1,7,13,10
10:3,14,5,8,14,10
10:3,13,2,8,17,10
10:3,16,1,8,18,10
10:3,15,4,8,15,10
10:3,16,1,8,17,10
10:3,19,3,8,19,10
10:3,18,6,7,20,10
10:3,19,4,7,21,10
10:3,19,1,7,25,10
10:3,21,2,7,25,10
10:4,11,4,8,14,10
10:4,11,5,8,17,10
10:4,14,3,8,12,10
10:4,16,4,8,16,10
10:4,16,5,8,15,10
10:4,17,2,7,15,10
10:4,16,1,8,16,10
10:4,19,5,7,18,10
10:5,13,5,7,14,10
10:5,14,4,7,14,10
10:5,13,2,7,16,10
10:5,13,6,8,15,10
10:5,17,2,8,14,10
10:5,15,1,8,15,10
10:5,17,6,8,17,10
10:6,12,5,8,12,10
10:6,14,2,8,13,10
10:6,13,0,8,16,10
10:6,13,0,8,16,10
10:6,17,0,8,17,10
10:6,18,3,7,15,10
10:6,16,1,7,22,10
10:6,18,3,7,20,10
10:7,10,6,8,14,10
10:7,14,0,7,12,10
10:7,15,1,7,18,10
10:7,15,2,8,16,10
10:7,14,4,8,18,10
10:7,16,5,8,21,10
10:7,19,4,8,20,10
10:7,19,2,7,17,10
10:7,18,4,7,19,10
10:7,22,1,7,21,10
10:7,20,5,8,26,10
10:8,10,3,8,10,10
10:8,13,1,8,12,10
10:8,13,0,8,17,10
10:8,15,1,8,18,10
10:8,17,2,7,15,10
10:8,15,4,8,17,10
10:8,16,6,7,19,10
10:9,11,4,7,11,10
10:9,12,6,8,15,10
10:9,13,1,7,18,10
10:9,14,6,8,15,10
10:9,15,5,8,14,10
10:9,15,4,8,18,10
10:9,19,2,7,17,10
10:9,18,5,8,23,10
10:10,12,5,7,12,10
10:10,12,4,8,16,10
10:10,13,6,8,18,10
10:10,15,3,7,14,10
10:10,14,2,7,16,10
10:10,18,5,7,17,10
10:10,18,5,7,18,10
10:10,17,2,7,22,10
10:10,19,2,7,21,10
10:10,19,0,7,19,10
10:11,11,5,8,10,10
10:11,11,2,8,12,10
10:11,13,3,8,13,10
10:11,15,2,7,18,10
10:11,16,5,8,17,10
10:11,15,3,8,19,10
10:11,19,6,7,20,10
10:12,13,3,7,10,10
10:12,12,4,7,11,10
10:12,14,1,7,13,10
10:12,13,6,7,18,10
10:12,15,5,7,17,10
10:12,15,4,8,20,10
10:12,17,4,7,18,10
10:13,13,0,7,13,10
10:13,11,2,8,16,10
10:13,13,3,7,16,10
10:13,15,1,8,15,10
10:13,16,6,8,17,10
10:13,15,2,8,19,10
10:13,19,0,8,21,10
10:13,17,3,8,22,10
10:13,18,3,8,21,10
10:14,10,2,7,12,10
10:14,13,5,7,17,10
10:14,14,3,8,13,10
10:14,13,4,8,19,10
10:14,15,4,8,15,10
10:14,16,2,7,19,10
10:14,16,4,7,18,10
10:15,12,5,8,12,10
10:15,14,6,8,15,10
10:15,15,1,7,18,10
10:15,14,4,7,16,10
10:15,15,2,7,19,10
10:15,18,5,8,20,10
10:15,17,0,8,18,10
10:15,18,4,7,17,10
10:15,19,4,7,22,10
10:16,13,6,8,12,10
10:16,13,2,7,14,10
10:16,14,2,8,14,10
10:16,14,5,8,19,10
10:16,15,6,7,20,10
10:16,16,6,8,17,10
10:16,19,0,8,21,10
10:16,18,0,8,21,10
10:16,19,5,7,23,10
10:16,21,5,8,19,10
10:16,21,4,7,22,10
10:17,13,0,8,11,10
10:17,14,6,7,12,10
10:17,13,3,7,15,10
10:17,16,2,8,16,10
10:17,16,4,8,14,10
10:17,17,0,8,15,10
10:17,18,1,8,19,10
10:17,20,6,8,22,10
10:18,13,2,7,14,10
10:18,13,2,7,14,10
10:18,15,4,7,12,10
10:18,13,4,8,15,10
10:18,14,0,7,19,10
10:18,15,5,8,15,10
10:18,18,6,7,18,10
10:19,11,6,8,13,10
10:19,12,4,7,14,10
10:19,14,4,7,13,10
10:19,14,1,8,18,10
10:19,14,5,7,20,10
10:19,18,1,8,21,10
10:19,16,0,7,22,10
10:19,19,1,8,19,10
10:19,20,6,8,22,10
10:19,22,1,8,23,10
20:0,20,5,7,25,20
20:0,21,6,8,27,20
20:0,22,1,8,26,20
20:0,24,6,8,27,20
20:0,25,5,8,29,20
20:0,26,3,7,29,20
20:0,26,6,8,26,20
20:0,27,0,8,31,20
20:1,23,2,8,24,20
20:1,23,6,7,22,20
20:1,24,0,7,27,20
20:1,24,0,8,27,20
20:1,25,0,8,29,20
20:1,25,5,8,31,20
20:1,29,0,7,28,20
20:1,27,3,7,30,20
20:1,30,4,8,33,20
20:2,23,3,7,20,20
20:2,24,6,8,22,20
20:2,25,0,8,22,20
20:2,23,0,8,23,20
20:2,25,3,7,26,20
20:2,28,6,8,28,20
20:2,26,6,7,30,20
20:2,30,6,8,27,20
20:2,28,6,7,30,20
20:3,20,3,7,21,20
20:3,23,0,7,24,20
20:3,24,1,7,23,20
20:3,24,6,7,28,20
20:3,25,4,8,24,20
20:3,28,5,8,25,20
20:3,27,1,8,28,20
20:3,28,1,8,28,20
20:3,29,3,8,30,20
20:4,21,3,7,21,20
20:4,21,5,8,26,20
20:4,23,1,7,22,20
20:4,25,4,7,23,20
20:4,24,6,7,28,20
20:4,26,6,7,30,20
20:4,29,6,7,29,20
20:4,30,4,8,32,20
20:4,29,1,8,32,20
20:4,30,4,8,29,20
20:4,31,3,8,30,20
20:5,23,1,8,23,20
20:5,22,3,7,26,20
20:5,25,3,7,28,20
20:5,25,2,8,27,20
20:5,24,4,8,25,20
20:5,27,0,8,31,20
20:5,29,5,7,30,20
20:5,27,1,8,27,20
20:5,31,5,8,31,20
20:5,29,5,8,33,20
20:6,21,1,8,23,20
20:6,24,1,8,27,20
20:6,22,2,8,23,20
20:6,25,6,8,28,20
20:6,24,1,8,25,20
20:6,27,2,8,30,20
20:6,26,2,8,26,20
20:6,30,2,8,32,20
20:6,29,2,7,29,20
20:6,29,4,8,30,20
20:7,23,4,8,23,20
20:7,21,5,7,27,20
20:7,25,4,7,23,20
20:7,24,1,7,24,20
20:7,24,4,7,30,20
20:7,28,2,8,30,20
20:7,28,5,7,32,20
20:8,22,1,8,25,20
20:8,23,4,7,24,20
20:8,24,1,8,24,20
20:8,26,3,8,26,20
20:8,27,6,7,29,20
20:8,26,1,7,29,20
20:8,26,5,7,30,20
20:8,27,2,7,30,20
20:8,28,6,7,28,20
20:8,29,2,8,31,20
20:9,23,2,8,25,20
20:9,24,6,7,22,20
20:9,22,6,7,22,20
20:9,24,4,8,27,20
20:9,25,3,8,26,20
20:9,25,4,7,28,20
20:9,27,3,7,29,20
20:10,23,2,7,24,20
20:10,24,0,8,25,20
20:10,22,2,8,26,20
20:10,26,3,8,24,20
20:10,25,4,8,25,20
20:10,27,6,7,28,20
20:10,26,0,8,29,20
20:11,23,4,7,22,20
20:11,24,1,7,23,20
20:11,23,2,7,23,20
20:11,23,6,7,27,20
20:11,25,0,7,30,20
20:11,28,4,8,30,20
20:11,26,3,8,32,20
20:11,29,6,7,32,20
20:11,28,1,7,31,20
20:11,31,2,7,29,20
20:11,33,2,8,30,20
20:12,22,4,8,21,20
20:12,23,3,7,22,20
20:12,24,1,8,27,20
20:12,25,2,8,27,20
20:12,25,6,7,27,20
20:12,27,4,8,26,20
20:12,28,5,8,29,20
20:13,22,3,8,26,20
20:13,21,3,8,21,20
20:13,25,1,8,23,20
20:13,24,2,8,24,20
20:13,24,5,8,27,20
20:13,28,4,8,29,20
20:13,27,5,8,30,20
20:13,29,3,7,29,20
20:13,28,0,8,30,20
20:14,21,6,8,20,20
20:14,21,3,7,23,20
20:14,23,5,8,23,20
20:14,23,1,8,23,20
20:14,25,0,7,27,20
20:14,25,1,7,31,20
20:14,27,0,8,27,20
20:14,27,4,8,27,20
20:14,29,1,7,31,20
20:14,32,3,7,32,20
20:15,23,6,7,24,20
20:15,23,0,8,26,20
20:15,24,6,8,27,20
20:15,26,5,7,27,20
20:15,24,2,7,29,20
20:15,25,2,7,30,20
20:15,27,4,7,29,20
20:15,28,4,8,28,20
20:16,20,4,7,25,20
20:16,24,0,8,24,20
20:16,23,3,8,23,20
20:16,26,2,8,23,20
20:16,26,6,7,27,20
20:16,26,2,8,31,20
20:16,29,0,8,31,20
20:16,27,4,8,33,20
20:16,31,1,8,29,20
20:16,31,3,8,30,20
20:17,23,2,8,25,20
20:17,24,4,7,27,20
20:17,22,1,8,26,20
20:17,23,0,7,25,20
20:17,24,2,7,30,20
20:17,28,3,7,28,20
20:17,29,1,7,29,20
20:17,27,6,8,33,20
20:18,21,5,8,21,20
20:18,24,1,8,26,20
20:18,23,4,8,22,20
20:18,24,3,8,27,20
20:18,25,0,7,24,20
20:18,26,1,8,31,20
20:18,27,5,7,32,20
20:18,30,5,8,32,20
20:18,30,3,7,29,20
20:18,31,4,8,34,20
20:18,33,3,8,35,20
20:19,23,0,7,21,20
20:19,21,6,7,24,20
20:19,25,5,7,24,20
20:19,23,0,8,24,20
20:19,24,6,8,28,20
20:19,28,4,7,30,20
20:19,26,5,7,30,20
20:19,30,2,8,31,20
20:19,28,0,8,34,20
30:0,31,3,8,32,30
30:0,31,5,7,37,30
30:0,33,4,7,36,30
30:0,35,1,8,35,30
30:0,34,4,8,36,30
30:0,36,3,8,40,30
30:0,38,1,8,36,30
30:1,31,2,8,30,30
30:1,34,3,8,34,30
30:1,32,0,8,36,30
30:1,34,6,7,33,30
30:1,34,5,8,35,30
30:1,35,5,8,37,30
30:1,39,0,8,38,30
30:2,31,5,7,32,30
30:2,31,1,8,37,30
30:2,32,5,8,34,30
30:2,34,2,7,37,30
30:2,37,6,7,36,30
30:2,35,4,7,41,30
30:2,37,3,7,40,30
30:2,38,2,7,41,30
30:2,39,1,7,41,30
30:3,33,2,7,32,30
30:3,33,4,7,32,30
30:3,35,6,8,33,30
30:3,35,4,7,33,30
30:3,36,2,8,34,30
30:3,35,4,7,37,30
30:3,36,1,8,37,30
30:3,39,6,8,37,30
30:4,33,0,7,34,30
30:4,34,2,7,33,30
30:4,33,5,8,37,30
30:4,35,0,7,39,30
30:4,34,5,8,34,30
30:4,37,2,8,35,30
30:4,37,6,7,38,30
30:4,37,6,8,40,30
30:4,40,4,7,40,30
30:4,41,6,8,42,30
30:5,33,2,7,34,30
30:5,31,1,8,34,30
30:5,32,1,7,34,30
30:5,33,6,7,34,30
30:5,37,0,8,38,30
30:5,38,0,7,38,30
30:5,38,2,8,39,30
30:6,30,1,8,31,30
30:6,32,1,7,37,30
30:6,34,6,7,33,30
30:6,35,4,7,34,30
30:6,35,6,8,39,30
30:6,36,1,7,41,30
30:6,37,5,7,40,30
30:6,39,6,7,42,30
30:6,41,6,7,38,30
30:6,42,1,8,43,30
30:7,31,3,8,30,30
30:7,32,6,7,35,30
30:7,32,6,7,32,30
30:7,34,5,8,36,30
30:7,36,3,8,39,30
30:7,38,2,7,41,30
30:7,37,4,7,41,30
30:7,38,6,7,43,30
30:7,38,4,7,43,30
30:7,42,1,8,44,30
30:8,32,0,7,32,30
30:8,33,2,8,35,30
30:8,34,1,7,35,30
30:8,34,4,8,35,30
30:8,37,2,8,35,30
30:8,38,6,8,41,30
30:8,38,2,8,39,30
30:8,40,5,8,42,30
30:9,31,1,8,31,30
30:9,33,4,7,35,30
30:9,33,6,8,34,30
30:9,35,3,8,36,30
30:9,34,6,7,36,30
30:9,38,5,7,35,30
30:9,37,4,7,42,30
30:9,39,6,7,43,30
30:9,39,1,7,43,30
30:9,41,4,8,39,30
30:9,40,0,7,46,30
30:10,31,3,8,35,30
30:10,33,6,8,31,30
30:10,35,6,7,37,30
30:10,33,6,7,33,30
30:10,36,2,7,40,30
30:10,38,1,8,36,30
30:10,37,3,7,40,30
30:10,40,4,7,37,30
30:10,38,3,7,43,30
30:11,30,3,8,32,30
30:11,32,5,7,33,30
30:11,33,2,8,35,30
30:11,36,4,8,35,30
30:11,34,3,7,34,30
30:11,37,4,8,39,30
30:11,39,3,7,40,30
30:11,40,6,7,42,30
30:12,30,6,7,35,30
30:12,34,2,7,36,30
30:12,35,2,8,38,30
30:12,33,5,8,37,30
30:12,34,0,7,38,30
30:12,35,6,7,35,30
30:12,39,3,8,36,30
30:13,31,0,8,35,30
30:13,32,0,7,34,30
30:13,32,0,8,33,30
30:13,35,3,8,39,30
30:13,34,5,8,38,30
30:13,36,4,7,40,30
30:13,37,4,7,42,30
30:13,37,4,8,39,30
30:13,40,2,7,41,30
30:14,30,4,7,30,30
30:14,33,1,7,37,30
30:14,33,0,8,32,30
30:14,35,6,7,35,30
30:14,34,0,8,35,30
30:14,37,3,8,40,30
30:14,39,3,7,36,30
30:15,33,3,8,34,30
30:15,34,4,8,35,30
30:15,32,1,7,37,30
30:15,36,6,8,34,30
30:15,34,1,7,34,30
30:15,38,5,7,40,30
30:15,36,4,8,40,30
30:15,39,2,8,40,30
30:15,40,5,8,42,30
30:16,31,6,7,35,30
30:16,34,6,8,33,30
30:16,32,1,7,35,30
30:16,33,2,8,39,30
30:16,35,4,7,38,30
30:16,35,0,8,35,30
30:16,38,1,8,38,30
30:16,40,3,8,37,30
30:16,39,5,8,43,30
30:17,31,0,8,34,30
30:17,32,6,8,36,30
30:17,34,5,8,33,30
30:17,33,5,8,37,30
30:17,35,4,8,36,30
30:17,37,3,7,39,30
30:17,39,3,7,38,30
30:17,40,2,7,38,30
30:17,40,1,8,41,30
30:18,32,4,7,32,30
30:18,32,1,8,35,30
30:18,33,4,7,35,30
30:18,36,1,7,37,30
30:18,36,4,7,39,30
30:18,35,4,8,36,30
30:18,38,3,8,40,30
30:18,38,2,8,39,30
30:19,30,1,7,34,30
30:19,32,6,8,31,30
30:19,34,4,8,37,30
30:19,36,3,8,39,30
30:19,37,0,7,34,30
30:19,37,1,8,39,30
30:19,39,2,8,42,30
40:0,42,1,7,45,40
40:0,41,6,7,45,40
40:0,42,6,8,47,40
40:0,43,4,7,43,40
40:0,44,6,7,50,40
40:0,47,0,8,50,40
40:0,47,6,7,48,40
40:0,49,1,7,51,40
40:0,49,1,7,49,40
40:0,51,3,8,50,40
40:1,42,1,7,41,40
40:1,44,1,7,47,40
40:1,42,2,8,47,40
40:1,44,6,8,43,40
40:1,46,6,7,44,40
40:1,46,6,7,50,40
40:1,46,3,7,47,40
40:1,50,4,7,51,40
40:1,50,1,7,51,40
40:1,51,5,8,50,40
40:1,52,5,7,50,40
40:2,43,2,8,44,40
40:2,43,1,8,45,40
40:2,45,0,7,45,40
40:2,43,4,7,47,40
40:2,45,5,8,45,40
40:2,48,2,7,51,40
40:2,47,5,7,48,40
40:2,50,2,8,51,40
40:2,48,2,8,53,40
40:3,41,6,7,45,40
40:3,41,2,8,45,40
40:3,45,1,8,43,40
40:3,46,0,7,47,40
40:3,47,0,8,49,40
40:3,46,0,7,46,40
40:3,47,0,8,49,40
40:3,47,6,7,51,40
40:3,49,1,8,48,40
40:3,50,6,7,53,40
40:4,41,4,8,44,40
40:4,44,6,8,46,40
40:4,45,5,7,44,40
40:4,45,6,7,48,40
40:4,44,1,8,45,40
40:4,46,6,7,46,40
40:4,47,3,8,46,40
40:4,49,6,8,50,40
40:5,42,5,7,44,40
40:5,41,6,8,43,40
40:5,42,1,7,45,40
40:5,44,6,7,46,40
40:5,46,1,8,49,40
40:5,46,0,8,47,40
40:5,46,2,7,47,40
40:5,49,4,8,52,40
40:5,51,3,7,49,40
40:6,40,2,7,44,40
40:6,42,6,8,43,40
40:6,43,4,7,46,40
40:6,46,2,7,43,40
40:6,45,1,8,50,40
40:6,48,1,7,47,40
40:6,49,4,7,51,40
40:6,49,5,7,47,40
40:6,51,1,7,48,40
40:6,49,3,8,54,40
40:7,42,5,8,41,40
40:7,42,5,7,46,40
40:7,43,3,7,42,40
40:7,44,1,7,49,40
40:7,45,6,7,44,40
40:7,45,2,7,47,40
40:7,49,4,8,50,40
40:7,50,0,7,48,40
40:7,51,0,8,50,40
40:7,51,5,8,52,40
40:7,50,2,7,51,40
40:8,41,1,7,43,40
40:8,43,6,7,47,40
40:8,44,3,7,47,40
40:8,45,5,8,44,40
40:8,46,0,8,49,40
40:8,47,1,8,51,40
40:8,48,0,8,47,40
40:9,40,3,8,40,40
40:9,43,4,8,44,40
40:9,43,1,7,44,40
40:9,43,6,8,48,40
40:9,46,1,8,47,40
40:9,47,4,8,46,40
40:9,49,2,7,51,40
40:9,47,1,8,49,40
40:9,48,5,7,51,40
40:9,51,2,7,51,40
40:10,41,5,7,41,40
40:10,43,6,8,44,40
40:10,43,5,8,45,40
40:10,46,3,8,47,40
40:10,44,0,8,45,40
40:10,45,0,8,50,40
40:10,49,1,8,51,40
40:10,47,3,7,52,40
40:10,50,4,7,50,40
40:10,51,4,7,53,40
40:11,40,1,7,40,40
40:11,43,6,8,44,40
40:11,43,1,8,47,40
40:11,46,2,7,46,40
40:11,47,0,7,44,40
40:11,45,2,7,47,40
40:11,46,4,8,46,40
40:11,47,4,8,52,40
40:11,48,1,7,53,40
40:12,43,1,7,43,40
40:12,43,6,7,44,40
40:12,42,4,8,42,40
40:12,43,0,8,43,40
40:12,47,1,8,49,40
40:12,48,1,8,50,40
40:12,48,1,8,51,40
40:12,47,4,8,51,40
40:13,42,2,8,43,40
40:13,44,5,8,43,40
40:13,44,6,7,43,40
40:13,44,3,8,48,40
40:13,44,2,8,48,40
40:13,47,5,7,45,40
40:13,46,3,7,47,40
40:13,50,5,8,51,40
40:14,40,3,8,43,40
40:14,44,2,7,42,40
40:14,43,0,8,43,40
40:14,43,5,8,47,40
40:14,46,1,7,47,40
40:14,45,4,8,50,40
40:14,48,5,7,47,40
40:14,49,6,8,50,40
40:15,42,0,7,40,40
40:15,43,3,8,44,40
40:15,43,2,8,45,40
40:15,43,5,8,48,40
40:15,46,5,8,45,40
40:15,48,5,8,48,40
40:15,48,3,8,48,40
40:15,50,6,7,49,40
40:15,48,3,8,51,40
40:15,51,0,7,51,40
40:15,51,3,7,54,40
40:16,41,1,8,40,40
40:16,41,1,7,42,40
40:16,43,0,8,47,40
40:16,46,1,8,46,40
40:16,47,2,7,45,40
40:16,48,1,7,50,40
40:16,46,3,8,51,40
40:16,49,2,8,47,40
40:16,50,2,8,48,40
40:17,42,1,8,45,40
40:17,43,4,7,44,40
40:17,42,3,7,42,40
40:17,43,2,7,45,40
40:17,46,0,7,44,40
40:17,45,1,7,48,40
40:17,46,4,7,46,40
40:18,41,6,7,40,40
40:18,41,4,7,42,40
40:18,42,3,8,42,40
40:18,43,3,8,47,40
40:18,45,4,7,45,40
40:18,47,5,8,49,40
40:18,47,0,7,51,40
40:18,48,0,8,49,40
40:18,50,4,8,50,40
40:18,50,4,7,50,40
40:18,53,6,8,55,40
40:19,42,4,8,40,40
40:19,41,0,7,43,40
40:19,43,5,7,43,40
40:19,43,6,8,48,40
40:19,47,5,7,46,40
40:19,47,6,7,51,40
40:19,46,1,8,52,40
40:19,49,1,7,51,40
40:19,51,1,8,50,40
50:0,50,4,7,52,50
50:0,54,6,7,53,50
50:0,55,4,8,52,50
50:0,55,1,8,53,50
50:0,57,4,8,60,50
50:0,56,2,7,60,50
50:0,58,5,7,58,50
50:0,60,0,8,58,50
50:1,52,2,7,51,50
50:1,54,1,7,54,50
50:1,54,6,7,54,50
50:1,53,0,7,55,50
50:1,55,3,7,58,50
50:1,56,0,7,58,50
50:1,59,4,8,62,50
50:1,59,2,7,63,50
50:2,53,2,7,53,50
50:2,52,5,8,57,50
50:2,52,5,7,56,50
50:2,56,3,8,54,50
50:2,55,5,8,57,50
50:2,58,6,7,57,50
50:2,56,5,7,60,50
50:3,52,5,7,50,50
50:3,52,2,7,54,50
50:3,54,4,8,54,50
50:3,56,3,8,53,50
50:3,56,4,8,56,50
50:3,57,5,8,58,50
50:3,56,3,7,59,50
50:4,53,5,7,50,50
50:4,54,4,7,57,50
50:4,54,5,7,52,50
50:4,56,5,8,57,50
50:4,56,4,8,58,50
50:4,58,4,8,59,50
50:4,57,6,7,60,50
50:4,59,1,8,60,50
50:4,58,1,7,59,50
50:5,53,5,7,53,50
50:5,53,6,8,57,50
50:5,53,3,8,55,50
50:5,55,5,7,59,50
50:5,54,2,8,57,50
50:5,55,2,7,59,50
50:5,57,1,7,58,50
50:5,58,0,7,60,50
50:5,61,0,7,59,50
50:5,62,4,7,63,50
50:5,62,0,8,62,50
50:6,53,2,7,52,50
50:6,51,0,7,53,50
50:6,54,4,8,53,50
50:6,53,5,8,56,50
50:6,57,5,7,54,50
50:6,58,6,8,58,50
50:6,59,5,8,59,50
50:6,58,3,7,63,50
50:7,51,2,7,56,50
50:7,52,3,8,53,50
50:7,54,6,8,54,50
50:7,54,1,8,54,50
50:7,56,6,7,57,50
50:7,56,0,8,60,50
50:7,58,1,7,61,50
50:7,59,1,8,59,50
50:7,58,0,8,60,50
50:7,61,2,8,65,50
50:8,51,5,8,55,50
50:8,52,1,7,54,50
50:8,53,0,8,57,50
50:8,53,0,8,58,50
50:8,54,3,8,57,50
50:8,56,5,7,55,50
50:8,56,1,7,62,50
50:9,50,2,7,54,50
50:9,51,1,8,57,50
50:9,55,1,8,57,50
50:9,55,6,8,58,50
50:9,55,5,8,56,50
50:9,56,1,7,56,50
50:9,58,5,8,62,50
50:9,57,2,8,63,50
50:9,60,3,7,59,50
50:9,61,1,8,60,50
50:10,50,1,8,53,50
50:10,51,2,7,51,50
50:10,54,1,7,53,50
50:10,55,5,8,59,50
50:10,56,4,8,58,50
50:10,57,6,8,55,50
50:10,57,2,7,60,50
50:10,57,2,8,58,50
50:11,50,3,8,56,50
50:11,54,2,8,52,50
50:11,54,3,7,56,50
50:11,53,5,8,59,50
50:11,55,0,7,58,50
50:11,55,6,7,61,50
50:11,56,0,8,58,50
50:12,50,5,7,56,50
50:12,52,5,7,57,50
50:12,54,3,8,55,50
50:12,54,3,7,57,50
50:12,55,4,7,57,50
